time,pos_actual_yaw,vel_actual_yaw,accel_control_yaw,pos_goal_yaw,vel_goal_yaw,pos_predicted_yaw,vel_predicted_yaw,iterations_yaw,pos_actual_pitch,vel_actual_pitch,accel_control_pitch,pos_goal_pitch,vel_goal_pitch,pos_predicted_pitch,vel_predicted_pitch,iterations_pitch,shoot_flag,solve_time_ms
0.435,-0.369482,0.0190908,57.6113,-0.434211,2.64995,-0.362714,0.88326,10,-0.0183181,-0.814345,33.1138,-0.0257379,-0.0159784,-0.026808,-0.317638,10,0,0.072
0.44,-0.368666,0.307147,57.2876,-0.423063,2.71179,-0.357614,1.16646,10,-0.0219759,-0.648776,30.6621,-0.0257997,-0.0162137,-0.0282581,-0.188845,10,0,0.072
0.445,-0.366415,0.593585,60,-0.411749,2.76723,-0.350602,1.51481,10,-0.0248365,-0.495465,23.5412,-0.0258222,-0.0164499,-0.0296201,-0.142347,10,0,0.073
0.45,-0.362697,0.893585,60,-0.400288,2.81621,-0.342494,1.80016,10,-0.0270196,-0.377759,21.2109,-0.0258041,-0.0166871,-0.0302997,-0.0595965,10,0,0.073
0.455,-0.357479,1.19359,60,-0.388696,2.85865,-0.332888,2.08524,10,-0.0286432,-0.271705,18.5125,-0.025744,-0.0169252,-0.0306361,0.00598221,10,0,0.072
0.46,-0.350761,1.49359,45.1444,-0.376992,2.89452,-0.323278,2.17075,10,-0.0297703,-0.179143,12.1385,-0.025641,-0.0171643,-0.0310919,0.00293525,10,0,0.072
0.465,-0.342729,1.71931,30.9069,-0.365192,2.92375,-0.313462,2.18291,10,-0.0305143,-0.11845,10.7146,-0.0254943,-0.0174042,-0.0310857,0.0422691,10,0,0.071
0.47,-0.333746,1.87384,23.0444,-0.353313,2.94632,-0.303046,2.21951,10,-0.0309726,-0.064877,9.22173,-0.0253035,-0.0176451,-0.0309084,0.073449,9,0,0.071
0.475,-0.324088,1.98906,-51.4484,-0.341373,2.96218,-0.30004,1.21734,10,-0.0311818,-0.0187683,7.88134,-0.0250684,-0.0178869,-0.0305766,0.0994518,10,1,0.073
0.48,-0.314786,1.73182,-29.2379,-0.329388,2.97132,-0.292098,1.29325,10,-0.0311771,0.0206384,6.482,-0.0247891,-0.0181296,-0.0301383,0.117868,8,1,0.068
0.485,-0.306493,1.58563,-10.8715,-0.317374,2.97371,-0.283931,1.42256,10,-0.0309929,0.0530484,5.2306,-0.024466,-0.0183731,-0.0296087,0.131507,9,1,0.071
0.49,-0.2987,1.53127,-60,-0.305349,2.96935,-0.284623,0.345735,10,-0.0306622,0.0792014,19.0621,-0.0240997,-0.0186175,-0.0273297,0.365132,10,1,0.074
0.495,-0.291794,1.23127,-60,-0.29333,2.95822,-0.279906,0.353829,10,-0.030028,0.174512,12.7295,-0.0236913,-0.0188627,-0.0259782,0.365454,10,1,0.073
0.5,-0.286388,0.931275,-39.0896,-0.281333,2.94034,-0.276816,0.344931,10,-0.0289963,0.238159,7.6953,-0.023242,-0.0191087,-0.0245582,0.353589,10,1,0.073
0.505,-0.28222,0.735827,-60,-0.269376,2.9157,-0.281448,-0.632871,10,-0.0277093,0.276636,48.3249,-0.0227531,-0.0193555,-0.0181232,1.00151,10,1,0.074
0.51,-0.279291,0.435827,-60,-0.257475,2.88432,-0.279462,-0.458705,10,-0.0257221,0.51826,29.3267,-0.0222265,-0.0196031,-0.0146489,0.958161,10,1,0.073
0.515,-0.277862,0.135827,-60,-0.245649,2.84623,-0.280467,-0.483264,10,-0.0227642,0.664894,14.5576,-0.021664,-0.0198515,-0.011153,0.883259,10,1,0.073
0.52,-0.277932,-0.164173,-60,-0.233914,2.80146,-0.288302,-1.21839,10,-0.0192577,0.737682,77.2002,-0.0210677,-0.0201007,0.000492534,1.89569,10,1,0.073
0.525,-0.279503,-0.464173,-60,-0.222298,2.17333,-0.292694,-1.29453,10,-0.0146043,1.12368,42.6786,-0.0204401,0.0184161,0.00705229,1.76386,10,1,0.074
0.53,-0.282574,-0.764173,-60,-0.210801,2.13087,-0.298725,-1.38925,10,-0.00845241,1.33708,16.3442,-0.0197831,0.0182734,0.0134425,1.58224,10,1,0.074
0.535,-0.287145,-1.06417,12.8807,-0.199449,2.0836,-0.301659,-0.870962,10,-0.00156273,1.4188,-2.83627,-0.0190995,0.0181292,0.0194002,1.37625,10,0,0.074
0.54,-0.292305,-0.999769,4.98869,-0.188261,2.03158,-0.30674,-0.924939,10,0.00549581,1.40462,26.2006,-0.0183916,0.0179837,0.0295126,1.79763,10,0,0.074
0.545,-0.297241,-0.974826,36.9665,-0.177257,1.97486,-0.307705,-0.420329,10,0.0128464,1.53562,2.67465,-0.0176622,0.0178368,0.0361816,1.57574,10,0,0.073
0.55,-0.301653,-0.789994,52.5102,-0.166455,1.9135,-0.307596,-0.00234112,10,0.0205579,1.54899,-13.8391,-0.0169137,0.0176884,0.0422359,1.34141,10,0,0.074
0.555,-0.304947,-0.527443,50.4305,-0.425412,1.8382,-0.307185,0.229014,10,0.0281299,1.4798,-24.5616,0.0593121,0.0175387,0.0475637,1.11137,10,0,0.074
0.56,-0.306954,-0.275291,52.2568,-0.412347,1.89606,-0.305204,0.508561,10,0.0352219,1.35699,-30.6766,0.0600801,0.0173877,0.0521256,0.89684,10,0,0.093
0.565,-0.307677,-0.0140066,60,-0.399031,1.94967,-0.301317,0.861978,10,0.0416234,1.20361,-33.2622,0.0608486,0.0172352,0.0559355,0.704674,10,0,0.115
0.57,-0.306997,0.285993,60,-0.385486,1.99899,-0.296376,1.13018,10,0.0472256,1.0373,-33.2627,0.0616138,0.0170814,0.059043,0.538355,10,0,0.093
0.575,-0.304817,0.585993,60,-0.371732,2.04398,-0.289341,1.47756,10,0.0519963,0.870982,-31.4772,0.0623713,0.0169262,0.0615198,0.398824,10,0,0.082
0.58,-0.301137,0.885993,60,-0.357791,2.08459,-0.281313,1.75721,10,0.0559577,0.713596,-24.6089,0.0631171,0.0167697,0.0638932,0.344462,10,0,0.129
0.585,-0.295957,1.18599,60,-0.343681,2.12078,-0.271391,2.08955,10,0.0592181,0.590551,-22.4983,0.0638468,0.0166118,0.0655453,0.253077,10,0,0.099
0.59,-0.289277,1.48599,60,-0.329422,2.15254,-0.260192,2.39203,10,0.0618896,0.47806,-19.8691,0.064556,0.0164526,0.0668253,0.180023,10,0,0.29
0.595,-0.281097,1.78599,60,-0.315033,2.17982,-0.247588,2.68191,10,0.0640316,0.378714,-17.0305,0.0652405,0.0162921,0.0677964,0.123256,10,0,0.27
0.6,-0.271417,2.08599,36.4951,-0.300532,2.2026,-0.236022,2.63342,10,0.0657123,0.293562,-10.5099,0.0658964,0.0161302,0.0689333,0.135913,10,1,0.225
0.605,-0.260531,2.26847,26.2294,-0.285938,2.22087,-0.223553,2.66191,10,0.0670487,0.241012,-9.19664,0.0665196,0.015967,0.0696293,0.103063,10,1,0.196
0.61,-0.248861,2.39962,19.0391,-0.271269,2.2346,-0.210725,2.6852,10,0.0681388,0.195029,-7.87175,0.0671068,0.0158025,0.0701787,0.0769527,9,1,0.206
0.615,-0.236625,2.49481,-56.3616,-0.256542,2.24378,-0.205543,1.64939,10,0.0690155,0.15567,-6.73677,0.0676548,0.0156367,0.0705927,0.0546186,10,1,0.213
0.62,-0.224855,2.213,-29.9864,-0.241777,2.2484,-0.195034,1.76321,10,0.0697097,0.121986,-5.55148,0.0681608,0.0154696,0.0709149,0.0387141,9,1,0.206
0.625,-0.214165,2.06307,-13.4883,-0.226989,2.24845,-0.184737,1.86075,10,0.0702502,0.0942289,-4.51369,0.0686227,0.0153012,0.0711559,0.0265236,9,1,0.211
0.63,-0.204018,1.99563,-60,-0.212198,2.24394,-0.182849,0.826986,10,0.070665,0.0716605,-19.0617,0.0690389,0.0151315,0.0695954,-0.214265,10,1,0.139
0.635,-0.19479,1.69563,-60,-0.197421,2.23484,-0.175937,0.818155,10,0.070785,-0.0236481,-12.746,0.0694082,0.0149605,0.0689963,-0.214837,10,1,0.215
0.64,-0.187062,1.39563,-49.9847,-0.182675,2.22118,-0.170832,0.768439,10,0.0705074,-0.0873779,-7.73041,0.0697301,0.0147883,0.0683271,-0.203334,10,1,0.213
0.645,-0.180709,1.14571,-60,-0.16798,2.20296,-0.173358,-0.165555,10,0.0699739,-0.12603,-49.8886,0.0700048,0.0146149,0.062471,-0.874359,10,1,0.155
0.65,-0.17573,0.845706,-60,-0.153352,2.18017,-0.16973,-0.0456363,10,0.0687201,-0.375473,-30.3912,0.0702328,0.0144402,0.059669,-0.831341,10,1,0.081
0.655,-0.172252,0.545706,-60,-0.138754,2.73362,-0.168703,-0.0726044,10,0.0664629,-0.527429,-15.2092,0.0704142,-0.0270461,0.0568404,-0.755567,10,1,0.08
0.66,-0.170273,0.245706,-60,-0.124318,2.68991,-0.174112,-0.757572,10,0.0636356,-0.603475,-79.9863,0.0705527,-0.0273087,0.045585,-1.80327,10,1,0.08
0.665,-0.169795,-0.0542936,-60,-0.110006,2.64002,-0.176811,-0.881186,10,0.0596184,-1.00341,-44.3059,0.0706494,-0.0275715,0.0395829,-1.668,10,1,0.081
0.67,-0.170816,-0.354294,-60,-0.0958394,2.584,-0.182053,-1.14397,10,0.0540476,-1.22494,-17.034,0.0707069,-0.0278344,0.0337572,-1.48045,10,1,0.081
0.675,-0.173338,-0.654294,-60,-0.0818372,2.52186,-0.189161,-1.45548,10,0.04771,-1.31011,-40.7461,0.070728,-0.0280974,0.0234744,-1.9213,10,0,0.082
0.68,-0.177359,-0.954294,-19.5351,-0.0680205,2.45365,-0.193871,-1.24732,10,0.0406501,-1.51384,-11.2392,0.0707158,-0.0283606,0.0166781,-1.68242,10,0,0.081
0.685,-0.182375,-1.05197,18.4359,-0.0544107,2.37941,-0.19608,-0.775431,10,0.0329404,-1.57003,9.94317,0.0706735,-0.0286238,0.0105085,-1.42089,10,0,0.081
0.69,-0.187404,-0.95979,36.4905,-0.04103,2.29919,-0.197696,-0.412433,10,0.0252146,-1.52032,24.1557,0.0706046,-0.0288871,0.00512732,-1.15798,10,0,0.08
0.695,-0.191747,-0.777338,42.5001,-0.30616,2.51053,-0.198626,-0.139835,10,0.0179149,-1.39954,32.7408,-0.00739252,-0.0291504,0.000605179,-0.908427,10,0,0.08
0.7,-0.195102,-0.564837,45.3214,-0.295044,2.59515,-0.198476,0.114984,10,0.0113265,-1.23583,36.9432,-0.00736708,-0.0294137,-0.00305492,-0.681687,10,0,0.08
0.705,-0.19736,-0.33823,60,-0.283706,2.67344,-0.196001,0.519439,10,0.0056091,-1.05112,37.8708,-0.0073153,-0.0296769,-0.00589721,-0.483057,10,0,0.08
